id,name,price,description
629,GMC,5,Cloned radical system engine
630,Cadillac,71,Cross-platform modular moratorium
631,Mercedes-Benz,90,Face to face needs-based archive
632,Kia,22,User-centric fresh-thinking Graphic Interface
633,Oldsmobile,99,Programmable 3rd generation flexibility
634,Pontiac,1,Streamlined neutral frame
635,Volkswagen,99,Persevering scalable functionalities
636,Lincoln,25,Configurable 6th generation instruction set
637,Acura,83,Cross-group global process improvement
638,Maserati,56,Integrated cohesive artificial intelligence
639,Dodge,100,Integrated heuristic hub
640,Dodge,58,Persistent executive matrices
641,Volkswagen,25,Self-enabling homogeneous success
642,Toyota,55,Cross-platform bottom-line emulation
643,Dodge,62,Grass-roots reciprocal project
644,Mazda,47,Future-proofed real-time solution
645,Mercedes-Benz,12,Innovative secondary middleware
646,Cadillac,65,Persevering client-server hierarchy
647,Chevrolet,40,Reverse-engineered 3rd generation installation
648,Buick,23,Fully-configurable modular attitude
649,Toyota,63,Profound exuding productivity
650,Audi,36,Reactive global intranet
651,Nissan,94,User-friendly holistic groupware
652,Dodge,9,Monitored 24 hour utilisation
653,Ford,67,Public-key intermediate focus group
654,Toyota,96,Team-oriented asymmetric data-warehouse
655,Acura,67,Balanced user-facing Graphical User Interface
656,Dodge,76,Business-focused mobile extranet
657,Chevrolet,8,Managed hybrid throughput
658,Mazda,11,Networked optimizing hardware
659,Suzuki,28,Inverse asynchronous support
660,Dodge,55,Devolved executive moratorium
661,Chevrolet,78,User-centric zero administration capacity
662,MINI,87,Polarised 24 hour Graphical User Interface
663,Ford,85,Mandatory modular archive
664,Ford,77,Public-key grid-enabled website
665,Lexus,40,Front-line intermediate system engine
666,Aston Martin,50,Reduced empowering interface
667,Jeep,3,Ameliorated zero administration moderator
668,BMW,96,Secured attitude-oriented Graphic Interface
669,Saturn,92,Streamlined 6th generation hub
670,Mercedes-Benz,31,Synchronised multimedia workforce
671,Saab,65,Self-enabling systematic frame
672,Lincoln,47,Realigned discrete function
673,Volvo,47,Triple-buffered multimedia encoding
674,Lincoln,43,Integrated 6th generation flexibility
675,Nissan,99,Configurable high-level algorithm
676,Mazda,92,Cloned interactive help-desk
677,Ford,45,Fundamental maximized hardware
678,Suzuki,96,Inverse disintermediate circuit
679,Ford,41,Enterprise-wide leading edge moderator
680,Cadillac,65,Enterprise-wide full-range support
681,Bentley,87,Adaptive fault-tolerant knowledge user
682,Suzuki,66,Synergized neutral throughput
683,Mazda,64,Object-based client-driven model
684,Acura,21,Managed maximized benchmark
685,Mercedes-Benz,84,Distributed analyzing Graphic Interface
686,Hyundai,93,Public-key maximized methodology
687,GMC,13,Virtual empowering hardware
688,Dodge,77,Enterprise-wide clear-thinking Graphic Interface
689,Buick,11,Object-based 4th generation success
690,BMW,93,Grass-roots asynchronous throughput
691,Toyota,24,Self-enabling web-enabled archive
692,Plymouth,10,Synchronised foreground methodology
693,Lincoln,37,Cross-group tertiary parallelism
694,Volvo,43,Reverse-engineered hybrid encryption
695,Mitsubishi,93,Switchable didactic alliance
696,Ford,62,Customer-focused homogeneous parallelism
697,Pontiac,74,Horizontal zero administration system engine
698,GMC,44,Visionary multi-tasking extranet
699,Buick,28,Robust 3rd generation synergy
700,Dodge,96,Ergonomic systemic focus group
701,Plymouth,96,Reduced zero administration customer loyalty
702,Maserati,83,Triple-buffered systemic focus group
703,BMW,26,Operative tertiary hierarchy
704,Land Rover,44,Re-contextualized contextually-based productivity
705,Mercedes-Benz,45,Persistent full-range utilisation
706,Infiniti,67,Virtual bandwidth-monitored internet solution
707,Kia,60,Switchable human-resource interface
708,Dodge,73,Open-source bifurcated project
709,Mercedes-Benz,25,Innovative local capability
710,Honda,29,Triple-buffered upward-trending matrix
711,Honda,8,Monitored leading edge ability
712,Oldsmobile,94,Multi-tiered next generation success
713,Pontiac,2,Exclusive demand-driven complexity
714,Ford,80,Enhanced clear-thinking open architecture
715,Audi,86,Re-contextualized heuristic implementation
716,Volkswagen,52,Future-proofed transitional software
717,Bentley,84,Stand-alone needs-based matrix
718,Mitsubishi,86,Versatile foreground database
719,GMC,14,Centralized exuding throughput
720,Mercury,2,Visionary multimedia alliance
721,Chevrolet,8,Object-based empowering hardware
722,Mitsubishi,6,Profit-focused interactive budgetary management
723,Volkswagen,50,Synergistic system-worthy capability
724,Chevrolet,43,Persevering context-sensitive standardization
725,Cadillac,87,Organized user-facing workforce
726,GMC,71,Profound global definition
727,Mazda,73,Configurable bifurcated functionalities
728,Ford,27,Future-proofed fresh-thinking task-force
729,Audi,11,Vision-oriented 4th generation moratorium
730,Infiniti,63,Vision-oriented systemic workforce
731,Ford,78,Reduced clear-thinking standardization
732,Ford,23,Open-source stable hub
733,Pontiac,78,Progressive 3rd generation customer loyalty
734,Volkswagen,15,Re-contextualized local forecast
735,Plymouth,37,Cloned modular productivity
736,Kia,35,Public-key even-keeled alliance
737,Ford,70,Automated solution-oriented leverage
738,Chevrolet,35,Multi-channelled motivating intranet
739,Ford,97,Organized contextually-based flexibility
740,Mazda,56,Customer-focused exuding instruction set
741,Spyker,18,Function-based 3rd generation protocol
742,Bentley,30,Cross-group radical flexibility
743,Pontiac,23,Switchable coherent system engine
744,Dodge,38,Integrated tertiary installation
745,Pontiac,15,Adaptive analyzing database
746,Mitsubishi,27,Virtual next generation portal
747,Aston Martin,42,Managed coherent benchmark
748,GMC,48,Synergized logistical moratorium
749,Dodge,4,Triple-buffered incremental adapter
750,Maserati,11,Persistent systematic support
751,Pontiac,68,Optional user-facing model
752,Oldsmobile,85,Cross-group bottom-line middleware
753,GMC,28,Public-key analyzing attitude
754,Dodge,23,Public-key demand-driven budgetary management
755,Pontiac,43,Object-based didactic open architecture
756,Cadillac,86,Optimized hybrid flexibility
757,Chevrolet,33,Adaptive empowering throughput
758,Volkswagen,88,User-centric actuating interface
759,Audi,4,Profound hybrid throughput
760,Subaru,19,Reduced impactful groupware
761,Chevrolet,81,Balanced user-facing policy
762,Volkswagen,87,Compatible well-modulated policy
763,Dodge,30,Total radical synergy
764,GMC,65,Inverse zero defect capacity
765,Toyota,70,Grass-roots zero tolerance groupware
766,Mazda,26,Multi-channelled motivating synergy
767,Volvo,84,Inverse clear-thinking circuit
768,Chevrolet,57,Expanded didactic capability
769,Lexus,95,Innovative high-level project
770,Pontiac,62,Front-line optimizing hub
771,Mazda,94,Function-based optimizing matrix
772,Plymouth,97,Exclusive encompassing collaboration
773,Audi,80,Function-based upward-trending groupware
774,Mazda,10,Cross-platform well-modulated solution
775,Dodge,97,Inverse 4th generation project
776,Audi,97,Compatible high-level secured line
777,Acura,12,Universal transitional algorithm
778,Volvo,23,Down-sized client-driven standardization
779,Acura,63,Triple-buffered analyzing superstructure
780,Ford,11,Configurable reciprocal secured line
781,Oldsmobile,72,Organized optimal attitude
782,Jaguar,89,Intuitive coherent infrastructure
783,Infiniti,42,Business-focused fresh-thinking paradigm
784,Ford,35,Face to face client-driven customer loyalty
785,Ford,95,Synchronised explicit intranet
786,Subaru,15,Cross-group tangible info-mediaries
787,BMW,96,Automated cohesive software
788,Dodge,95,Distributed fault-tolerant system engine
789,Suzuki,72,Progressive content-based functionalities
790,Toyota,93,Reverse-engineered mission-critical flexibility
791,Mazda,80,Multi-tiered national knowledge user
792,Chevrolet,62,Fundamental secondary encryption
793,Honda,8,Diverse neutral framework
794,Toyota,20,Multi-tiered multi-state definition
795,Suzuki,33,Assimilated directional attitude
796,Ford,18,Monitored leading edge structure
797,BMW,90,Streamlined tertiary emulation
798,Ford,41,Advanced client-server system engine
799,Dodge,48,User-friendly client-server artificial intelligence
800,Ford,78,Self-enabling directional firmware
801,Mercedes-Benz,100,Open-architected maximized monitoring
802,Mitsubishi,69,Open-source solution-oriented hierarchy
803,Chrysler,3,User-friendly bifurcated software
804,Buick,35,Enhanced directional focus group
805,Lincoln,58,Persevering impactful migration
806,Toyota,21,Upgradable full-range flexibility
807,Ford,56,Balanced uniform collaboration
808,Mazda,74,Horizontal web-enabled benchmark
809,Mercedes-Benz,100,Open-source homogeneous project
810,Jeep,99,Multi-channelled secondary infrastructure
811,Audi,19,Grass-roots dynamic firmware
812,Isuzu,46,Quality-focused contextually-based software
813,Audi,85,Right-sized next generation analyzer
814,Dodge,51,Horizontal bi-directional emulation
815,Cadillac,20,Multi-lateral neutral solution
816,Suzuki,64,Multi-channelled multimedia intranet
817,Toyota,45,Ergonomic national pricing structure
818,Mercury,7,Extended encompassing encoding
819,Mazda,12,Proactive intermediate hierarchy
820,Chevrolet,16,Compatible modular knowledge base
821,Ford,37,Future-proofed grid-enabled solution
822,Dodge,95,Adaptive coherent info-mediaries
823,Buick,11,Public-key grid-enabled solution
824,GMC,40,Right-sized systemic policy
825,Land Rover,60,Upgradable system-worthy internet solution
826,Dodge,88,Proactive asymmetric adapter
827,Kia,71,Innovative tertiary attitude
828,Porsche,54,Persevering reciprocal task-force
829,Pontiac,39,Networked encompassing paradigm
830,Chevrolet,68,Proactive impactful projection
831,Kia,73,Right-sized solution-oriented approach
832,BMW,68,Secured context-sensitive policy
833,Ford,32,Profound 6th generation concept
834,Maserati,19,Advanced high-level monitoring
835,Volvo,60,User-friendly full-range project
836,Chevrolet,91,Enhanced local solution
837,Dodge,79,Multi-lateral bottom-line strategy
838,Chevrolet,28,Automated non-volatile portal
839,Pontiac,23,User-friendly bottom-line middleware
840,Suzuki,6,Assimilated multimedia migration
841,Mazda,53,Vision-oriented 5th generation intranet
842,Buick,79,Re-contextualized clear-thinking time-frame
843,Ford,28,Vision-oriented reciprocal local area network
844,Cadillac,90,User-centric fresh-thinking service-desk
845,Ford,36,Reduced 3rd generation function
846,Pontiac,38,Visionary actuating flexibility
847,Dodge,63,Configurable needs-based neural-net
848,Honda,11,De-engineered hybrid orchestration
849,Eagle,38,User-centric multi-state collaboration
850,Isuzu,49,Secured grid-enabled projection
851,Subaru,34,Customer-focused needs-based capacity
852,Chevrolet,32,Grass-roots zero administration alliance
853,Kia,74,Versatile analyzing projection
854,Toyota,37,Realigned 5th generation firmware
855,Eagle,90,Universal explicit toolset
856,BMW,34,Down-sized encompassing approach
857,Dodge,62,Managed cohesive approach
858,Dodge,20,Optional methodical knowledge user
859,Lexus,96,Digitized web-enabled adapter
860,Volvo,19,Enhanced leading edge monitoring
861,Acura,8,Self-enabling next generation infrastructure
862,Mitsubishi,80,Public-key logistical collaboration
863,Chrysler,32,Reactive systematic software
864,Volkswagen,92,Re-engineered leading edge alliance
865,Ford,73,Profound clear-thinking policy
866,Maserati,82,Managed national model
867,Mazda,97,Open-architected tangible task-force
868,Chrysler,28,Compatible national core
869,Volkswagen,87,Balanced incremental definition
870,Saturn,39,Profit-focused foreground paradigm
871,Ford,15,Advanced national secured line
872,Mitsubishi,94,Stand-alone directional open architecture
873,GMC,53,User-friendly content-based open system
874,Pontiac,60,Open-architected methodical open architecture
875,Saab,73,Programmable mission-critical structure
876,Ford,99,Multi-layered 4th generation adapter
877,Mitsubishi,62,Re-contextualized optimizing functionalities
878,Land Rover,97,Self-enabling asymmetric intranet
879,Pontiac,76,Switchable dedicated standardization
880,Chevrolet,26,Focused object-oriented protocol
881,Buick,60,Stand-alone methodical capability
882,BMW,38,Inverse solution-oriented customer loyalty
883,Volvo,31,Organic optimal contingency
884,Ford,34,User-friendly responsive model
885,Honda,36,Innovative hybrid interface
886,Plymouth,38,Down-sized user-facing installation
887,Land Rover,22,Open-source tangible migration
888,Volvo,12,Open-architected demand-driven portal
889,Mazda,23,Function-based didactic toolset
890,Mitsubishi,86,Phased needs-based array
891,Land Rover,63,Reactive full-range hub
892,Toyota,64,Optional attitude-oriented middleware
893,Honda,66,Managed client-server frame
894,Jeep,99,Intuitive heuristic support
895,Plymouth,89,Up-sized modular firmware
896,Ford,93,Integrated zero administration conglomeration
897,Pontiac,24,Synchronised directional benchmark
898,Buick,81,Fundamental contextually-based function
899,Scion,53,Monitored responsive solution
900,Scion,24,Innovative maximized service-desk
901,GMC,42,Focused 3rd generation projection
902,Buick,14,Compatible coherent algorithm
903,Aston Martin,34,Synchronised zero defect application
904,Hyundai,75,Fundamental context-sensitive encryption
905,Chevrolet,2,Self-enabling object-oriented concept
906,Toyota,8,Face to face neutral Graphic Interface
907,Buick,67,Team-oriented impactful local area network
908,Plymouth,36,Exclusive transitional challenge
909,Chevrolet,14,Reverse-engineered motivating interface
910,Chevrolet,48,Open-source stable internet solution
911,Land Rover,15,Polarised bottom-line flexibility
912,Mercedes-Benz,52,Quality-focused client-driven attitude
913,Dodge,96,Intuitive eco-centric superstructure
914,Saab,11,Synergized full-range access
915,Cadillac,33,Optional stable circuit
916,Dodge,18,Organized directional framework
917,Ford,83,Persistent multi-state service-desk
918,Chevrolet,96,Up-sized exuding toolset
919,Honda,52,Fully-configurable encompassing local area network
920,Scion,48,Robust maximized installation
921,Chevrolet,56,Upgradable upward-trending leverage
922,Volkswagen,44,Cloned discrete software
923,Honda,8,Ameliorated leading edge toolset
924,Chevrolet,23,Switchable high-level flexibility
925,Honda,24,Cross-platform background structure
926,Scion,92,Compatible modular project
927,Audi,8,Public-key maximized model
928,GMC,30,Enterprise-wide clear-thinking process improvement
929,Volvo,6,Enhanced full-range local area network
930,Lexus,17,Pre-emptive multimedia task-force
931,Chevrolet,94,Operative systemic neural-net
932,Mitsubishi,74,Visionary next generation access
933,Audi,17,Right-sized upward-trending project
934,Mazda,4,Centralized transitional task-force
935,Suzuki,74,Ergonomic client-driven middleware
936,Volkswagen,54,Managed didactic application
937,Jaguar,66,Re-contextualized attitude-oriented concept
938,Mercedes-Benz,44,Implemented non-volatile project
939,Chevrolet,27,Total holistic definition
940,Buick,48,Networked responsive software
941,Chrysler,92,Upgradable value-added application
942,Mitsubishi,68,Organized fresh-thinking concept
943,Volkswagen,99,Optimized mobile concept
944,Volvo,41,Realigned mission-critical circuit
945,Kia,27,Optional dynamic array
946,Chevrolet,100,Universal 3rd generation functionalities
947,Mitsubishi,45,Upgradable fresh-thinking implementation
948,Audi,13,Programmable coherent migration
949,BMW,51,Triple-buffered didactic moratorium
950,Hyundai,78,Multi-channelled analyzing implementation
951,Suzuki,5,Reduced responsive time-frame
952,Pontiac,82,Synergized composite projection
953,Lexus,37,Optimized scalable protocol
954,Lincoln,72,Cross-group leading edge website
955,Jeep,69,Function-based discrete moderator
956,Holden,79,Operative object-oriented algorithm
957,Cadillac,14,Enterprise-wide zero tolerance frame
958,Dodge,72,Innovative content-based info-mediaries
959,Chevrolet,21,Cross-group 6th generation internet solution
960,Ford,59,Ameliorated radical benchmark
961,Audi,45,Mandatory 3rd generation open system
962,Dodge,41,Managed solution-oriented policy
963,Acura,100,Realigned analyzing protocol
964,Subaru,53,Networked intermediate complexity
965,Nissan,77,Open-source exuding firmware
966,Nissan,49,Stand-alone client-server extranet
967,Chevrolet,66,User-centric human-resource flexibility
968,Dodge,33,Business-focused mission-critical forecast
969,Hyundai,98,Reactive homogeneous concept
970,Ford,31,Open-architected attitude-oriented structure
971,Chevrolet,85,Function-based even-keeled model
972,Chevrolet,17,Self-enabling exuding paradigm
973,Mazda,97,Customer-focused multi-tasking artificial intelligence
974,Chevrolet,2,Switchable didactic hierarchy
975,Mazda,61,Fundamental uniform intranet
976,Pontiac,90,Reduced tertiary structure
977,Mercedes-Benz,81,Inverse dynamic ability
978,Honda,87,Advanced asynchronous solution
979,Rambler,67,Re-contextualized analyzing ability
980,Chevrolet,26,Function-based bifurcated task-force
981,Volkswagen,14,Switchable cohesive time-frame
982,GMC,79,Object-based coherent support
983,Acura,87,Inverse coherent utilisation
984,Mercedes-Benz,10,Re-engineered radical contingency
985,Honda,4,User-centric needs-based paradigm
986,Mazda,71,Open-source context-sensitive data-warehouse
987,Buick,70,Stand-alone multi-state customer loyalty
988,Infiniti,81,Cloned interactive extranet
989,GMC,43,Enterprise-wide well-modulated attitude
990,Pontiac,83,Intuitive tangible encoding
991,Buick,2,Networked asymmetric superstructure
992,GMC,23,Face to face methodical local area network
993,Ford,5,Exclusive regional methodology
994,Volkswagen,5,Digitized heuristic utilisation
995,Cadillac,24,Triple-buffered bandwidth-monitored help-desk
996,Lincoln,54,Organized tangible access
997,Buick,55,Adaptive modular middleware
998,Lotus,20,Up-sized 24/7 functionalities
999,Mercedes-Benz,24,Enhanced disintermediate groupware
1000,Subaru,30,Cloned encompassing focus group
